id,referee,timezone,date,venue_id,venue_name,venue_city,season,round,home_team,away_team,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime,has_winner
143677,"Marco Antonio Ortiz Nava, Mexico",UTC,2017-02-26T23:00:00+00:00,1965,Estadio Victor Manuel Reyna,Tuxtla Gutierrez,2016,Clausura - 8,Jaguares de Chiapas,Guadalajara Chivas,True,False,4,3,0,2,4,3,1
143679,"Cesar Arturo Ramos Palazuelos, Mexico",UTC,2017-03-04T03:00:00+00:00,1088,Estadio Caliente,Tijuana,2016,Clausura - 9,Club Tijuana,Pachuca,False,True,2,3,1,0,2,3,0
143687,"Miguel Angel Flores Rodriguez, Mexico",UTC,2017-03-05T18:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2016,Clausura - 9,Puebla,Tigres UANL,False,True,0,2,0,1,0,2,0
143688,"Erick Yair Miranda Galindo, Mexico",UTC,2017-04-12T00:00:00+00:00,1965,Estadio Victor Manuel Reyna,Tuxtla Gutierrez,2016,Clausura - 10,Jaguares de Chiapas,Leon,,,0,0,0,0,0,0,1
143691,"Miguel Angel Flores Rodriguez, Mexico",UTC,2017-04-13T00:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2016,Clausura - 10,Club Queretaro,Club Tijuana,False,True,0,1,0,0,0,1,0
143695,"Roberto Rios Jacome, Mexico",UTC,2017-04-13T02:30:00+00:00,1071,Estadio Jalisco,Guadalajara,2016,Clausura - 10,Atlas,U.N.A.M. - Pumas,,,1,1,1,1,1,1,1
143697,"Erick Yair Miranda Galindo, Mexico",UTC,2017-03-18T03:00:00+00:00,1088,Estadio Caliente,Tijuana,2016,Clausura - 11,Club Tijuana,Santos Laguna,,,1,1,0,1,1,1,1
143699,"Diego Montano, Mexico",UTC,2017-03-18T23:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2016,Clausura - 11,Club Queretaro,Pachuca,True,False,3,0,2,0,3,0,1
143705,"Jorge Antonio Perez Duran, Mexico",UTC,2017-03-20T00:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2016,Clausura - 11,Puebla,Monarcas,False,True,0,1,0,0,0,1,0
143707,"Miguel Angel Chacon Viveros, Mexico",UTC,2017-04-01T23:00:00+00:00,1965,Estadio Victor Manuel Reyna,Tuxtla Gutierrez,2016,Clausura - 12,Jaguares de Chiapas,U.N.A.M. - Pumas,False,True,0,3,0,1,0,3,0
143708,"Adonai Escobedo Gonzalez, Mexico",UTC,2017-04-02T01:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2016,Clausura - 12,Atlas,Club Tijuana,,,3,3,2,2,3,3,1
143715,"Luis Santander, Mexico",UTC,2017-04-08T02:00:00+00:00,1088,Estadio Caliente,Tijuana,2016,Clausura - 13,Club Tijuana,Club America,,,0,0,0,0,0,0,1
143717,"Leon Vicente Barajas Anzures, Mexico",UTC,2017-04-08T22:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2016,Clausura - 13,Club Queretaro,Atlas,False,True,1,4,0,2,1,4,0
143724,"Fernando Hernandez, Mexico",UTC,2017-04-15T22:00:00+00:00,1965,Estadio Victor Manuel Reyna,Tuxtla Gutierrez,2016,Clausura - 14,Jaguares de Chiapas,Club Tijuana,False,True,1,2,1,0,1,2,0
143728,"Eduardo Galvan Basulto, Mexico",UTC,2017-04-16T00:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2016,Clausura - 14,Atlas,Santos Laguna,,,1,1,0,1,1,1,1
143732,"Marco Antonio Ortiz Nava, Mexico",UTC,2017-04-16T23:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2016,Clausura - 14,Puebla,Cruz Azul,True,False,2,1,0,1,2,1,1
143733,"Roberto Rios Jacome, Mexico",UTC,2017-04-22T02:00:00+00:00,1088,Estadio Caliente,Tijuana,2016,Clausura - 15,Club Tijuana,Toluca,True,False,2,0,0,0,2,0,1
143734,"Marco Antonio Ortiz Nava, Mexico",UTC,2017-04-22T22:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2016,Clausura - 15,Club Queretaro,Jaguares de Chiapas,,,2,2,1,0,2,2,1
143737,"Miguel Angel Chacon Viveros, Mexico",UTC,2017-04-23T00:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2016,Clausura - 15,Atlas,Pachuca,True,False,1,0,1,0,1,0,1
143743,"Cesar Arturo Ramos Palazuelos, Mexico",UTC,2017-04-29T22:00:00+00:00,1965,Estadio Victor Manuel Reyna,Tuxtla Gutierrez,2016,Clausura - 16,Jaguares de Chiapas,Santos Laguna,,,2,2,1,0,2,2,1
